mission_time_s,tx,ty,tz,error,d1,d2,d3,x1,x2,x3,y1,y2,y3,z1,z2,z3
2.215340,NaN,NaN,NaN,NaN,0,0,0,0.002208,-1.979290,1.966503,0.041258,-2.062630,-1.986904,0.048927,0.060860,0.007214
2.236320,NaN,NaN,NaN,NaN,0,0,0,0.001655,-1.978800,1.966348,0.041579,-2.062708,-1.987018,0.048653,0.060955,0.007538
2.245577,NaN,NaN,NaN,NaN,0,0,0,0.001433,-1.978545,1.966264,0.041663,-2.062747,-1.987061,0.048576,0.060997,0.007694
2.266696,NaN,NaN,NaN,NaN,0,0,0,0.001251,-1.978293,1.965998,0.041771,-2.062789,-1.987162,0.048477,0.061039,0.008144
2.275455,NaN,NaN,NaN,NaN,0,0,0,0.000884,-1.977775,1.965903,0.041980,-2.062886,-1.987178,0.048271,0.061104,0.008289
2.285922,NaN,NaN,NaN,NaN,0,0,0,0.000517,-1.977245,1.965807,0.042184,-2.062998,-1.987194,0.048054,0.061153,0.008427
2.295117,NaN,NaN,NaN,NaN,0,0,0,0.000336,-1.976704,1.965711,0.042288,-2.063124,-1.987210,0.047947,0.061172,0.008564
2.315728,NaN,NaN,NaN,NaN,0,0,0,-0.000017,-1.976152,1.965440,0.042467,-2.063263,-1.987175,0.047729,0.061172,0.008972
2.327055,NaN,NaN,NaN,NaN,0,0,0,-0.000362,-1.975614,1.965349,0.042652,-2.063416,-1.987163,0.047520,0.061176,0.009083
2.336303,NaN,NaN,NaN,NaN,0,0,0,-0.000546,-1.975304,1.965188,0.042721,-2.063509,-1.987120,0.047405,0.061153,0.009308
2.345624,NaN,NaN,NaN,NaN,0,0,0,-0.000729,-1.974997,1.965116,0.042792,-2.063605,-1.987089,0.047291,0.061134,0.009422
2.366201,NaN,NaN,NaN,NaN,0,0,0,-0.001273,-1.974695,1.964972,0.042977,-2.063704,-1.987027,0.046947,0.061115,0.009647
